object_id,region_id,raw_label,nyu_id,nyu40_id,nyu_label,nyu40_label,object_bbox_cx,object_bbox_cy,object_bbox_cz,object_bbox_xlength,object_bbox_ylength,object_bbox_zlength,object_bbox_heading,object_front_heading,object_color_r1,object_color_g1,object_color_b1,object_color_scheme1,object_color_scheme_percentage1,object_color_scheme_average_dist1,object_color_r2,object_color_g2,object_color_b2,object_color_scheme2,object_color_scheme_percentage2,object_color_scheme_average_dist2,object_color_r3,object_color_g3,object_color_b3,object_color_scheme3,object_color_scheme_percentage3,object_color_scheme_average_dist3
0,0,window,59,9,window,window,1.4793689668207473,3.523483307998297,1.8565294742584229,1.7432855137100671,0.2236576200608016,0.5723519325256348,0.03522333958388422,_,105,105,105,gray,0.6456953642384106,5.655326274047384,160,82,45,brown,0.1605960264900662,14.449298963382905,255,255,255,white,0.11258278145695365,1.4517384792436459
1,0,window,59,9,window,window,2.904899230989843,-3.4938051673173995,1.526824712753296,0.649298729296707,0.15341419085000796,0.6715359687805176,-3.0112772385878346,_,176,196,222,blue,0.5454545454545454,4.469671847648281,119,136,153,gray,0.2909090909090909,7.83387049147088,210,180,140,brown,0.13636363636363635,5.958965024341737
2,0,table,19,7,table,table,1.148632724110066,2.198377144643741,0.6164956614375114,2.538415478952993,0.5205048743044615,1.2144762426614761,-1.5810820561638774,-0.4941139162005747,160,82,45,brown,0.5500523194977328,16.58734522066449,169,169,169,gray,0.30868503662364843,6.935963087378751,_,_,_,_,_,_
3,0,kitchen counter,7,12,counter,counter,2.9161771886634886,2.501576486509166,0.9722377061843872,1.843187999887957,0.6161531596932655,0.2869744300842285,-1.5719970020696061,_,169,169,169,gray,0.8917748917748918,6.337815245192565,_,_,_,_,_,_,_,_,_,_,_,_
4,0,shower,20,38,unknown,otherstructure,1.6000650115826738,-2.910105867442473,0.8784949891269207,1.1791041585492814,0.9385636538351829,1.8209028020501137,-1.6069358190681868,_,105,105,105,gray,0.8584675451439727,8.11913911776472,210,180,140,brown,0.11517813567593949,6.589248480046209,_,_,_,_,_,_
5,0,curtain,89,16,curtain,curtain,-3.311181768105722,-0.013518330805108569,1.0712197311222553,3.858114765213416,0.43903972266140334,2.1603440269827843,-1.5720753058291805,_,105,105,105,gray,0.8204140587385652,9.75185661424704,210,180,140,brown,0.10736639383726529,10.578491001741522,_,_,_,_,_,_
6,0,curtain,89,16,curtain,curtain,-2.0154698904060817,-3.4847043724542535,1.5768105387687683,1.9907342125570406,0.19781290331616974,1.276661992073059,0.027668188040399302,_,128,128,128,gray,0.7882783882783883,8.83131015015999,210,180,140,brown,0.19047619047619047,11.853108810093316,_,_,_,_,_,_
7,0,desk,36,14,desk,desk,-2.1935006257885945,-3.1406061064076582,0.491119135171175,1.482792882613618,0.6742146134456743,1.058568499982357,-0.011835217228724108,2.0097043301471595,160,82,45,brown,0.4602003162888772,18.06928252321921,47,79,79,gray,0.4422772799156563,19.9870252395674,_,_,_,_,_,_
8,0,cabinet,3,3,cabinet,cabinet,-2.808667480016229,2.4806179879406662,1.1390052661299706,1.9433309271249184,0.9159137153742969,2.337953880429268,0.9093961291903775,_,160,82,45,brown,0.6154033633926396,14.18547337100285,47,79,79,gray,0.30221788934925664,21.084448280870312,_,_,_,_,_,_
9,0,floor,11,2,floor,floor,-0.06715773327110747,-0.017043366599673624,0.11363551765680313,6.79502950381567,6.772153796423908,0.3571401685476303,-1.5420586355932457,_,105,105,105,gray,0.6094391244870041,10.088496973972672,210,180,140,brown,0.28376001563416064,7.563776180358861,_,_,_,_,_,_
